iter	Passed	Remaining
0	61	30449
1	68	17115
2	77	12775
3	84	10470
4	91	9091
5	100	8243
6	107	7602
7	118	7285
8	127	6953
9	135	6636
10	143	6394
11	151	6172
12	159	5971
13	166	5790
14	175	5675
15	182	5530
16	190	5419
17	198	5311
18	206	5227
19	214	5139
20	221	5050
21	229	4984
22	236	4909
23	244	4852
24	252	4795
25	260	4745
26	267	4693
27	276	4654
28	283	4602
29	296	4651
30	314	4756
31	325	4754
32	332	4706
33	340	4669
34	349	4646
35	358	4624
36	370	4639
37	378	4603
38	386	4568
39	391	4505
40	397	4448
41	401	4379
42	408	4344
43	414	4298
44	418	4234
45	422	4170
46	426	4108
47	430	4052
48	433	3993
49	438	3943
50	441	3890
51	445	3841
52	449	3792
53	453	3747
54	457	3703
55	461	3660
56	466	3624
57	470	3582
58	474	3545
59	478	3508
60	482	3469
61	485	3431
62	489	3397
63	493	3365
64	498	3333
65	501	3299
66	506	3270
67	510	3242
68	514	3214
69	518	3183
70	522	3158
71	526	3129
72	530	3100
73	533	3071
74	542	3076
75	559	3124
76	570	3131
77	578	3127
78	585	3118
79	590	3101
80	594	3076
81	598	3053
82	603	3032
83	608	3012
84	611	2987
85	615	2963
86	620	2946
87	624	2923
88	628	2901
89	632	2880
90	636	2861
91	641	2842
92	645	2825
93	649	2805
94	653	2784
95	657	2765
96	661	2746
97	665	2728
98	669	2711
99	673	2692
100	676	2673
101	680	2654
102	686	2645
103	691	2633
104	695	2617
105	700	2603
106	704	2585
107	708	2571
108	712	2554
109	716	2541
110	720	2526
111	725	2511
112	729	2497
113	733	2482
114	737	2469
115	741	2454
116	745	2439
117	749	2424
118	752	2410
119	757	2397
120	760	2383
121	764	2368
122	768	2354
123	771	2340
124	775	2326
125	779	2312
126	783	2300
127	787	2287
128	791	2275
129	795	2264
130	799	2252
131	803	2239
132	807	2227
133	811	2215
134	815	2203
135	818	2191
136	823	2181
137	826	2169
138	830	2156
139	834	2145
140	838	2134
141	842	2123
142	847	2115
143	851	2105
144	855	2095
145	859	2085
146	864	2076
147	868	2066
148	872	2055
149	877	2046
150	883	2042
151	887	2031
152	891	2021
153	899	2020
154	907	2019
155	916	2020
156	924	2019
157	934	2022
